id,ptime,dtime,plat,plong,node_id
2013012316,2013-01-01 06:37:50,2013-01-01 06:59:05,40.792896,-73.943855,42436647
2013013258,2013-01-01 06:38:00,2013-01-01 06:58:00,40.749119,-73.982346,42445908
2013010890,2013-01-01 06:38:37,2013-01-01 07:06:16,40.766132,-73.978928,42440025
2013011147,2013-01-01 06:39:00,2013-01-01 07:02:00,40.763306,-73.986526,6210777843
2013013275,2013-01-01 06:39:00,2013-01-01 07:02:00,40.752617,-73.97084,42434090
2013010766,2013-01-01 06:39:11,2013-01-01 07:15:17,40.783875,-73.982224,42428068
2013010735,2013-01-01 06:39:56,2013-01-01 07:19:30,40.765465,-73.977463,4207892896
2013013125,2013-01-01 06:40:00,2013-01-01 07:05:00,40.735901,-73.997833,42430249
2013011867,2013-01-01 06:40:00,2013-01-01 07:07:00,40.773129,-73.978104,7802856341
2013012195,2013-01-01 06:40:00,2013-01-01 07:03:00,40.759312,-73.966064,5610570649
2013013045,2013-01-01 06:40:00,2013-01-01 06:59:16,40.751755,-73.969948,42442947
2013010876,2013-01-01 06:40:05,2013-01-01 07:03:45,40.800152,-73.953194,42433163
2013012127,2013-01-01 06:40:38,2013-01-01 07:09:14,40.763817,-73.969322,6177439752
2013012890,2013-01-01 06:40:46,2013-01-01 07:07:45,40.737171,-73.981148,42440330
2013013306,2013-01-01 06:40:47,2013-01-01 07:07:53,40.788723,-73.966583,42435317
2013000803,2013-01-01 06:42:00,2013-01-01 07:07:00,40.777023,-73.955383,42448238
2013011307,2013-01-01 06:42:25,2013-01-01 07:07:22,40.760677,-73.969955,42443614
2013012780,2013-01-01 06:43:36,2013-01-01 07:11:50,40.769188,-73.965202,42455694
2013011181,2013-01-01 06:44:00,2013-01-01 07:08:00,40.774937,-73.953873,42443029
2013011244,2013-01-01 06:44:44,2013-01-01 07:04:29,40.740589,-73.982094,42429896
2013013009,2013-01-01 06:45:00,2013-01-01 07:11:00,40.773605,-73.965019,42439556
2013012121,2013-01-01 06:45:00,2013-01-01 07:03:00,40.752895,-73.967377,5944998216
2013012442,2013-01-01 06:46:00,2013-01-01 07:08:00,40.755512,-73.974182,42448811
2013006918,2013-01-01 06:46:00,2013-01-01 07:12:00,40.775486,-73.960457,42459137
2013013251,2013-01-01 06:46:24,2013-01-01 07:29:21,40.785183,-73.980507,7818397393
2013013170,2013-01-01 06:47:00,2013-01-01 07:14:00,40.773113,-73.955063,42443027
2013012613,2013-01-01 06:47:00,2013-01-01 07:31:00,40.748913,-73.995667,42427812
2013011713,2013-01-01 06:47:00,2013-01-01 07:05:00,40.78302,-73.944328,4779073680
2013007311,2013-01-01 06:48:00,2013-01-01 07:16:00,40.730045,-74.002121,3891960758
2013012927,2013-01-01 06:48:00,2013-01-01 07:15:00,40.754559,-73.999001,42437670
2013013404,2013-01-01 06:48:00,2013-01-01 07:12:00,40.764378,-73.972389,8904527314
2013013139,2013-01-01 06:50:00,2013-01-01 07:19:00,40.761932,-73.978836,42430367
2013013112,2013-01-01 06:50:00,2013-01-01 07:17:00,40.766895,-73.962372,42431680
2013011821,2013-01-01 06:50:00,2013-01-01 07:16:00,40.707233,-74.004311,42440270
2013013435,2013-01-01 06:50:17,2013-01-01 07:15:02,40.779743,-73.955238,42429334
2013013445,2013-01-01 06:51:00,2013-01-01 07:14:00,40.744606,-73.984062,4597668033
2013012878,2013-01-01 06:51:00,2013-01-01 07:15:00,40.766682,-73.969139,42431650
2013004090,2013-01-01 06:51:00,2013-01-01 07:09:00,40.747482,-73.974129,42442931
2013012287,2013-01-01 06:52:00,2013-01-01 07:17:00,40.749458,-73.992508,42435422
2013012050,2013-01-01 06:52:10,2013-01-01 07:15:43,40.706501,-74.016197,4145434709
2013012182,2013-01-01 06:53:39,2013-01-01 07:22:42,40.776096,-73.982147,1061531608
2013011723,2013-01-01 06:54:00,2013-01-01 07:20:00,40.740276,-73.976135,1632878994
2013011500,2013-01-01 06:54:00,2013-01-01 07:18:00,40.760948,-73.958015,42427970
2013004530,2013-01-01 06:56:00,2013-01-01 07:21:00,40.760971,-73.99501,42443563
2013010975,2013-01-01 06:56:41,2013-01-01 07:24:36,40.759163,-73.976753,42440452
2013003624,2013-01-01 06:57:00,2013-01-01 07:21:00,40.75013,-73.994621,4443775465
2013010732,2013-01-01 06:57:00,2013-01-01 07:20:00,40.763561,-73.988968,42440163
2013013171,2013-01-01 06:57:00,2013-01-01 07:26:00,40.770763,-73.948845,4888399301
