id,ptime,plat,plong,dtime,dlat,dlong,p_node,d_node
2013011636,2013-01-09 06:00:00,40.756256,-73.989738,2013-01-09 06:04:00,40.764969,-73.983002,42435660,42428321
2013001428,2013-01-09 06:00:00,40.750473,-73.99176,2013-01-09 06:05:00,40.757351,-73.982468,3799572065,42430347
2013012594,2013-01-09 06:00:00,40.760796,-73.994843,2013-01-09 06:03:00,40.762192,-73.983406,42443563,42428310
2013002018,2013-01-09 06:00:09,40.749828,-73.99176,2013-01-09 06:03:30,40.758011,-73.979187,42439440,42443528
2013020639,2013-01-09 06:00:16,40.752209,-73.97731,2013-01-09 06:06:00,40.761768,-73.965881,561042204,6177439759
2013012163,2013-01-09 06:00:20,40.756233,-73.990669,2013-01-09 06:08:44,40.748734,-73.969719,42435657,248708582
2013025382,2013-01-09 06:00:24,40.751232,-73.993881,2013-01-09 06:05:00,40.756325,-73.976242,42435642,42445926
2013020825,2013-01-09 06:00:50,40.750908,-73.991158,2013-01-09 06:07:20,40.760387,-73.974152,42437654,42445936
2013020185,2013-01-09 06:00:52,40.756653,-73.990288,2013-01-09 06:04:16,40.756489,-73.978157,42435660,42452353
2013011791,2013-01-09 06:00:53,40.751072,-73.991058,2013-01-09 06:06:43,40.752449,-73.976204,42437654,42446977
2013012669,2013-01-09 06:00:57,40.756214,-73.9907,2013-01-09 06:07:30,40.758842,-73.968781,42435657,42448379
2013019837,2013-01-09 06:00:59,40.749966,-73.991776,2013-01-09 06:06:14,40.762974,-73.972076,42439440,42445947
2013020138,2013-01-09 06:01:00,40.756763,-73.990112,2013-01-09 06:08:00,40.757977,-73.97303,4207957613,42440456
2013012364,2013-01-09 06:01:00,40.750637,-73.991577,2013-01-09 06:08:00,40.751823,-73.976151,4461990857,42446959
2013015179,2013-01-09 06:01:00,40.755985,-73.991074,2013-01-09 06:07:00,40.755432,-73.974678,42435657,100522728
2013028980,2013-01-09 06:01:02,40.75005,-73.99131,2013-01-09 06:05:14,40.754536,-73.977806,4461990857,42444043
2013019856,2013-01-09 06:01:02,40.755966,-73.990921,2013-01-09 06:08:08,40.756062,-73.97049,42435657,42449956
2013021076,2013-01-09 06:01:07,40.748066,-73.982841,2013-01-09 06:04:07,40.761856,-73.969208,42445365,42447007
2013016304,2013-01-09 06:01:28,40.756237,-73.991264,2013-01-09 06:05:13,40.761944,-73.978615,42435657,4207938835
2013011334,2013-01-09 06:01:30,40.751354,-73.991295,2013-01-09 06:06:35,40.75164,-73.977882,42437654,8122411159
2013025459,2013-01-09 06:01:56,40.756737,-73.989967,2013-01-09 06:03:25,40.765732,-73.982521,4207957613,42428328
2013020113,2013-01-09 06:01:58,40.755726,-73.990601,2013-01-09 06:04:45,40.757053,-73.977829,42435657,42443528
2013012092,2013-01-09 06:02:15,40.755768,-73.991089,2013-01-09 06:10:43,40.761505,-73.966629,42435657,4288677093
2013019906,2013-01-09 06:02:20,40.756527,-73.991631,2013-01-09 06:05:32,40.754871,-73.976448,5916783969,42434077
2013012625,2013-01-09 06:02:52,40.756527,-73.989861,2013-01-09 06:06:17,40.755184,-73.977814,42435660,42434074
2013011125,2013-01-09 06:03:00,40.75,-73.990051,2013-01-09 06:07:00,40.758141,-73.980652,4461990857,42430352
2013017351,2013-01-09 06:03:00,40.756119,-73.991211,2013-01-09 06:07:00,40.757732,-73.978539,42435657,42443528
2013001206,2013-01-09 06:03:00,40.756073,-73.991081,2013-01-09 06:09:00,40.758942,-73.975533,42435657,5475605300
2013020498,2013-01-09 06:03:08,40.751041,-73.990715,2013-01-09 06:06:18,40.756657,-73.983238,42437654,42430344
2013025445,2013-01-09 06:03:14,40.756222,-73.991264,2013-01-09 06:09:04,40.759346,-73.970879,42435657,42446998
2013020269,2013-01-09 06:03:23,40.755878,-73.990974,2013-01-09 06:08:25,40.755901,-73.975258,42435657,596775882
2013020631,2013-01-09 06:03:29,40.755791,-73.990921,2013-01-09 06:05:08,40.761028,-73.983345,42435657,42440001
2013020621,2013-01-09 06:03:36,40.756008,-73.990265,2013-01-09 06:06:32,40.75956,-73.981949,42435657,42430356
2013011646,2013-01-09 06:03:43,40.755569,-73.991028,2013-01-09 06:09:08,40.758438,-73.97731,42435654,42440153
2013011828,2013-01-09 06:03:49,40.755928,-73.991104,2013-01-09 06:09:54,40.758804,-73.979286,42435657,42430356
2013020279,2013-01-09 06:03:59,40.760799,-73.986267,2013-01-09 06:07:19,40.764214,-73.976509,42435680,42430384
2013021727,2013-01-09 06:04:00,40.756668,-73.990105,2013-01-09 06:08:00,40.762001,-73.97261,42435660,4207952794
2013013788,2013-01-09 06:04:00,40.755936,-73.991119,2013-01-09 06:09:00,40.757423,-73.978928,42435657,42443528
2013013577,2013-01-09 06:04:00,40.758736,-73.989182,2013-01-09 06:08:44,40.752251,-73.977615,42435671,100521831
2013020391,2013-01-09 06:04:00,40.751263,-73.993927,2013-01-09 06:08:00,40.749683,-73.979851,42435642,561042194
2013012629,2013-01-09 06:04:02,40.751167,-73.990059,2013-01-09 06:11:51,40.748314,-73.968575,42437654,42450809
2013008690,2013-01-09 06:04:15,40.762745,-73.978745,2013-01-09 06:13:47,40.757309,-73.969955,42430371,42449961
2013026729,2013-01-09 06:04:15,40.756207,-73.990791,2013-01-09 06:10:00,40.75135,-73.979523,42435657,42445914
2013020064,2013-01-09 06:04:38,40.750847,-73.982887,2013-01-09 06:09:05,40.758949,-73.9692,42433604,5266098185
2013010199,2013-01-09 06:04:47,40.756546,-73.989906,2013-01-09 06:10:39,40.760735,-73.970039,42435660,42443614
2013025347,2013-01-09 06:04:47,40.756252,-73.9907,2013-01-09 06:10:32,40.756599,-73.970947,42435657,42440463
2013020117,2013-01-09 06:04:53,40.760914,-73.999107,2013-01-09 06:12:49,40.752838,-73.979851,42430673,42445916
2013012548,2013-01-09 06:05:00,40.75584,-73.990715,2013-01-09 06:12:00,40.747807,-73.983322,42435657,4207937589
2013011627,2013-01-09 06:05:00,40.754932,-73.983398,2013-01-09 06:08:00,40.76062,-73.973595,42430333,4207952793
2013001850,2013-01-09 06:05:00,40.765324,-73.982124,2013-01-09 06:12:00,40.75573,-73.980194,42428328,42432693
2013007575,2013-01-09 06:05:00,40.756416,-73.990356,2013-01-09 06:09:00,40.760983,-73.976776,42435660,42436700
