id,ptime,plat,plong,dtime,dlat,dlong,p_node,d_node
2013012378,2013-01-07 06:00:00,40.759075,-73.985107,2013-01-07 06:04:00,40.752796,-73.979691,42428303,42445916
2013011410,2013-01-07 06:00:00,40.754005,-73.984352,2013-01-07 06:05:00,40.758667,-73.975433,42430329,42440453
2013004995,2013-01-07 06:00:23,40.756378,-73.990425,2013-01-07 06:05:34,40.761532,-73.970322,42435660,42432834
2013020000,2013-01-07 06:00:28,40.756027,-73.990868,2013-01-07 06:08:00,40.758228,-73.969261,42435657,42449963
2013012706,2013-01-07 06:00:45,40.761574,-74.000183,2013-01-07 06:08:20,40.753208,-73.980125,4207932666,42437358
2013004862,2013-01-07 06:01:00,40.756336,-73.990166,2013-01-07 06:04:00,40.761215,-73.980194,42435660,42430363
2013021479,2013-01-07 06:01:00,40.751083,-73.990349,2013-01-07 06:08:00,40.74992,-73.976089,42437654,42449942
2013016943,2013-01-07 06:01:00,40.755863,-73.990929,2013-01-07 06:05:00,40.759659,-73.982239,42435657,42430356
2013028925,2013-01-07 06:02:00,40.762684,-73.984734,2013-01-07 06:07:00,40.754417,-73.979904,42435687,42443556
2013004090,2013-01-07 06:02:00,40.760609,-73.987335,2013-01-07 06:06:00,40.760872,-73.96933,42435677,42432847
2013010763,2013-01-07 06:02:00,40.758205,-73.992226,2013-01-07 06:08:00,40.759659,-73.973145,42437368,596775900
2013020677,2013-01-07 06:02:00,40.753002,-73.985497,2013-01-07 06:05:00,40.76038,-73.980766,42430320,42430358
2013008764,2013-01-07 06:02:00,40.757286,-73.989998,2013-01-07 06:06:00,40.764904,-73.980591,42435663,42431549
2013020387,2013-01-07 06:02:22,40.757324,-73.989929,2013-01-07 06:05:46,40.754307,-73.975731,42435663,3639381192
2013010834,2013-01-07 06:02:30,40.767166,-73.98629,2013-01-07 06:06:20,40.755264,-73.978241,42431560,42444043
2013017191,2013-01-07 06:02:31,40.754391,-73.991791,2013-01-07 06:05:04,40.750751,-73.982956,42433620,42433604
2013003543,2013-01-07 06:02:33,40.756359,-73.990471,2013-01-07 06:06:06,40.759186,-73.979172,42435660,5475605301
2013011015,2013-01-07 06:02:40,40.762299,-73.986107,2013-01-07 06:05:45,40.763264,-73.970253,42435684,596775946
