id,ptime,plat,plong,dtime,dlat,dlong,p_node,d_node
2013020666,2013-01-02 06:00:00,40.751129,-73.990875,2013-01-02 06:06:00,40.760094,-73.973808,42437654,42445936
2013001092,2013-01-02 06:00:00,40.750237,-73.991547,2013-01-02 06:05:00,40.755257,-73.980049,4461990857,42432693
2013003727,2013-01-02 06:00:00,40.752121,-73.98185,2013-01-02 06:06:00,40.749363,-73.972908,42446488,42432464
2013020840,2013-01-02 06:00:00,40.750183,-73.991356,2013-01-02 06:03:00,40.756741,-73.98278,4461990857,42430344
2013011185,2013-01-02 06:00:15,40.750664,-73.991257,2013-01-02 06:04:19,40.7537,-73.980675,4461990857,42437358
2013020844,2013-01-02 06:00:23,40.756565,-73.989899,2013-01-02 06:04:48,40.757183,-73.978958,42435660,42452353
2013017337,2013-01-02 06:00:30,40.748997,-73.988174,2013-01-02 06:03:08,40.751308,-73.9767,6224277869,42446959
2013020847,2013-01-02 06:00:42,40.755653,-73.99102,2013-01-02 06:06:17,40.75853,-73.968925,42435654,42449963
2013013661,2013-01-02 06:00:59,40.755798,-73.990578,2013-01-02 06:06:06,40.756413,-73.976662,42435657,42445926
2013010961,2013-01-02 06:01:00,40.751049,-73.990891,2013-01-02 06:07:00,40.744881,-73.976158,42437654,5131026388
2013020557,2013-01-02 06:01:00,40.756031,-73.990944,2013-01-02 06:05:00,40.755398,-73.980942,42435657,42443556
2013011198,2013-01-02 06:01:10,40.756374,-73.990662,2013-01-02 06:06:52,40.749084,-73.983086,5916783970,42434946
2013020268,2013-01-02 06:01:12,40.750668,-73.990456,2013-01-02 06:04:52,40.756672,-73.982903,42437654,42430344
2013014304,2013-01-02 06:01:18,40.751278,-73.991211,2013-01-02 06:09:22,40.748169,-73.968452,42437654,42450809
2013019888,2013-01-02 06:02:00,40.749958,-73.991829,2013-01-02 06:07:00,40.752121,-73.979645,42439440,42432438
2013010386,2013-01-02 06:02:00,40.756195,-73.9888,2013-01-02 06:08:00,40.756176,-73.976845,4207957613,42445924
2013020249,2013-01-02 06:02:00,40.752029,-73.993652,2013-01-02 06:05:00,40.760792,-73.983559,42435644,42432585
2013012003,2013-01-02 06:02:32,40.756207,-73.990189,2013-01-02 06:06:25,40.756927,-73.976524,42435660,42445926
2013020365,2013-01-02 06:02:35,40.747051,-73.979118,2013-01-02 06:16:21,40.755192,-73.973877,42434954,42446987
2013010696,2013-01-02 06:03:00,40.75576,-73.99118,2013-01-02 06:09:00,40.759731,-73.972961,42435657,596775919
2013020530,2013-01-02 06:03:00,40.755917,-73.990692,2013-01-02 06:07:00,40.758446,-73.980904,42435657,42430352
2013020597,2013-01-02 06:03:00,40.757233,-73.989693,2013-01-02 06:08:00,40.761227,-73.971672,42435663,596775951
2013007385,2013-01-02 06:03:00,40.757092,-73.990189,2013-01-02 06:08:00,40.760723,-73.969147,4207957613,42432847
2013020483,2013-01-02 06:03:10,40.751194,-73.993965,2013-01-02 06:11:22,40.760094,-73.969376,42435642,42443614
2013012921,2013-01-02 06:03:11,40.751724,-73.993828,2013-01-02 06:06:23,40.751312,-73.978058,42435642,8122411159
2013004675,2013-01-02 06:03:33,40.756187,-73.990685,2013-01-02 06:11:14,40.75148,-73.977165,42435657,8122411159
2013019945,2013-01-02 06:03:54,40.756916,-73.990196,2013-01-02 06:15:23,40.756748,-73.976753,4207957613,42445926
2013014399,2013-01-02 06:04:09,40.751087,-73.990448,2013-01-02 06:09:30,40.761112,-73.979752,42437654,42430363
2013011164,2013-01-02 06:04:51,40.756737,-73.989967,2013-01-02 06:06:33,40.760384,-73.981773,4207957613,42430358
2013020910,2013-01-02 06:04:54,40.756222,-73.990585,2013-01-02 06:09:32,40.757393,-73.974449,42435657,596775870
2013020464,2013-01-02 06:05:00,40.756226,-73.990509,2013-01-02 06:12:00,40.746113,-73.979713,42435657,42445374
2013020111,2013-01-02 06:05:00,40.756256,-73.990715,2013-01-02 06:12:00,40.750015,-73.973228,42435657,4202958489
2013006449,2013-01-02 06:05:00,40.756424,-73.990417,2013-01-02 06:09:00,40.759617,-73.98114,42435660,42430356
2013012125,2013-01-02 06:05:21,40.755959,-73.991196,2013-01-02 06:11:47,40.759319,-73.972206,42435657,42456611
2013020612,2013-01-02 06:05:57,40.768536,-73.986504,2013-01-02 06:08:55,40.760979,-73.981171,4207837427,42430361
2013010535,2013-01-02 06:06:00,40.762215,-73.986099,2013-01-02 06:09:00,40.765717,-73.976463,42435684,42430394
2013011903,2013-01-02 06:06:00,40.762611,-73.981895,2013-01-02 06:10:00,40.755596,-73.979492,4207938836,42432693
2013012658,2013-01-02 06:06:00,40.755863,-73.991196,2013-01-02 06:13:00,40.754742,-73.97213,42435657,42448813
2013011433,2013-01-02 06:06:02,40.765217,-73.987854,2013-01-02 06:10:14,40.755913,-73.984215,4207837422,42430338
2013020105,2013-01-02 06:06:07,40.755714,-73.991501,2013-01-02 06:11:09,40.763905,-73.976791,42435654,42430384
2013020933,2013-01-02 06:06:17,40.76442,-73.980614,2013-01-02 06:12:04,40.751373,-73.978355,42440020,100522479
