id,ptime,plat,plong,dtime,dlat,dlong,p_node,d_node
2013010417,2013-01-08 06:00:00,40.755947,-73.990952,2013-01-08 06:05:00,40.756973,-73.974869,42435657,596775867
2013020272,2013-01-08 06:00:00,40.756023,-73.991325,2013-01-08 06:05:00,40.754646,-73.977959,42435657,42444043
2013020869,2013-01-08 06:00:05,40.750694,-73.990898,2013-01-08 06:03:38,40.758244,-73.982353,42437654,42430350
2013011603,2013-01-08 06:00:18,40.756557,-73.990089,2013-01-08 06:03:27,40.76231,-73.98188,42435660,42440009
2013012158,2013-01-08 06:00:24,40.756821,-73.990204,2013-01-08 06:04:06,40.758099,-73.97596,4207957613,42445928
2013014409,2013-01-08 06:00:24,40.751152,-73.994194,2013-01-08 06:06:13,40.756737,-73.972717,42435642,42446991
2013010985,2013-01-08 06:01:00,40.748623,-73.988472,2013-01-08 06:03:00,40.752548,-73.978531,42430295,42443804
2013019922,2013-01-08 06:01:00,40.751003,-73.990646,2013-01-08 06:06:00,40.758766,-73.980736,42437654,42430352
2013004548,2013-01-08 06:01:00,40.756428,-73.989761,2013-01-08 06:04:00,40.759827,-73.980568,42435660,42430358
2013020546,2013-01-08 06:01:01,40.75,-73.991615,2013-01-08 06:07:20,40.748272,-73.968506,42439440,42450809
2013011311,2013-01-08 06:01:08,40.762299,-73.985886,2013-01-08 06:06:26,40.753273,-73.977646,42435684,3639382769
2013020187,2013-01-08 06:01:18,40.762627,-73.982857,2013-01-08 06:05:45,40.752903,-73.97805,42428312,3639382769
2013010834,2013-01-08 06:01:36,40.749779,-73.991341,2013-01-08 06:07:41,40.756489,-73.975632,42439440,42445926
2013020674,2013-01-08 06:02:00,40.749866,-73.991821,2013-01-08 06:07:00,40.752365,-73.982124,42439440,42446488
2013011927,2013-01-08 06:02:00,40.759869,-73.988419,2013-01-08 06:07:00,40.756775,-73.978767,42435675,42452353
2013025322,2013-01-08 06:02:03,40.755539,-73.991547,2013-01-08 06:04:43,40.762058,-73.981796,42435654,42440009
2013025347,2013-01-08 06:02:39,40.757198,-73.989273,2013-01-08 06:04:56,40.766125,-73.983711,42435663,42431556
2013028957,2013-01-08 06:02:39,40.768337,-73.98214,2013-01-08 06:05:59,40.759289,-73.980095,1825841754,42430356
2013021350,2013-01-08 06:02:40,40.755932,-73.991333,2013-01-08 06:05:30,40.751637,-73.979774,42435657,42445914
2013026697,2013-01-08 06:02:46,40.755428,-73.991638,2013-01-08 06:06:24,40.756306,-73.976715,42435654,42445926
2013019945,2013-01-08 06:02:58,40.756279,-73.9907,2013-01-08 06:07:16,40.75563,-73.97625,42435657,42443811
2013010839,2013-01-08 06:03:01,40.751163,-73.994011,2013-01-08 06:12:15,40.75367,-73.977455,42435642,42443807
