id,ptime,plat,plong,dtime,dlat,dlong,p_node,d_node
2013020999,2013-01-14 06:00:01,40.761623,-73.9823,2013-01-14 06:10:28,40.745689,-73.975998,5475605302,4207683805
2013025479,2013-01-14 06:00:34,40.752625,-73.993324,2013-01-14 06:05:26,40.757004,-73.976555,42435645,42445926
2013020625,2013-01-14 06:00:46,40.750233,-73.991554,2013-01-14 06:06:28,40.752136,-73.978241,4461990857,42443804
2013010899,2013-01-14 06:00:47,40.75016,-73.9916,2013-01-14 06:06:25,40.761478,-73.972931,4461990857,4215905389
2013020075,2013-01-14 06:01:00,40.755695,-73.990959,2013-01-14 06:05:00,40.752872,-73.982162,42435657,42432436
2013029568,2013-01-14 06:01:00,40.756329,-73.990021,2013-01-14 06:05:00,40.761799,-73.980255,42435660,42430363
2013020542,2013-01-14 06:01:00,40.756737,-73.989532,2013-01-14 06:04:00,40.761913,-73.980232,4207957613,42430367
2013001865,2013-01-14 06:01:00,40.756355,-73.99099,2013-01-14 06:05:00,40.761349,-73.979103,42435657,42430363
2013010199,2013-01-14 06:01:15,40.756565,-73.990204,2013-01-14 06:04:38,40.763817,-73.978882,42435660,42430378
2013020046,2013-01-14 06:01:18,40.764744,-73.980202,2013-01-14 06:03:47,40.76086,-73.971405,42431549,596775951
2013026737,2013-01-14 06:01:21,40.76894,-73.987587,2013-01-14 06:06:18,40.753521,-73.977562,42455643,42443807
2013026734,2013-01-14 06:02:00,40.752827,-73.992989,2013-01-14 06:07:00,40.759533,-73.976196,42435645,42446353
2013026728,2013-01-14 06:02:00,40.75148,-73.990532,2013-01-14 06:07:00,40.751167,-73.975769,42439952,42446959
2013007575,2013-01-14 06:02:00,40.756664,-73.989792,2013-01-14 06:04:00,40.764103,-73.984932,4207957613,4207815979
2013020993,2013-01-14 06:02:19,40.757362,-73.993408,2013-01-14 06:06:10,40.763149,-73.982063,42444991,42440012
2013021368,2013-01-14 06:02:39,40.751049,-73.984909,2013-01-14 06:09:51,40.745567,-73.976059,4207937591,4207683805
2013013666,2013-01-14 06:03:00,40.757988,-73.992989,2013-01-14 06:09:00,40.747841,-73.978912,42445001,42446941
2013019955,2013-01-14 06:03:00,40.755936,-73.990959,2013-01-14 06:09:00,40.746628,-73.98185,42435657,561042188
2013014599,2013-01-14 06:03:00,40.756752,-73.990173,2013-01-14 06:07:00,40.754993,-73.977493,4207957613,42434074
2013025526,2013-01-14 06:03:00,40.756958,-73.989731,2013-01-14 06:07:00,40.755634,-73.979744,4207957613,42432693
2013012443,2013-01-14 06:03:00,40.750309,-73.991554,2013-01-14 06:06:00,40.755154,-73.983719,4461990857,42430338
2013025615,2013-01-14 06:03:20,40.756187,-73.990349,2013-01-14 06:06:11,40.760235,-73.980881,42435657,42430358
2013013641,2013-01-14 06:03:32,40.756168,-73.991035,2013-01-14 06:11:16,40.755836,-73.970795,42435657,42449956
2013020702,2013-01-14 06:03:36,40.745033,-73.979187,2013-01-14 06:06:53,40.760883,-73.96698,42449928,42449971
2013025397,2013-01-14 06:03:48,40.763317,-73.978333,2013-01-14 06:07:33,40.753399,-73.977859,42430375,3639382769
2013030362,2013-01-14 06:03:52,40.767815,-73.982773,2013-01-14 06:10:51,40.753628,-73.977432,1825841704,42443807
2013003461,2013-01-14 06:03:59,40.756107,-73.99054,2013-01-14 06:10:39,40.759117,-73.969879,42435657,5266098185
